Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2023-09-20,Breakfast,421.5,13.7,2.7,0.1,0.0,0.0,0.0,38.3,422.4,62.0,5.4,20.9,16.5,5.0,17.1,0.6,1.7,
2023-09-20,Dinner,767.0,27.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.6,0.0,0.0,50.6,0.0,0.0,0.0,0.0,
2023-09-20,Lunch,1183.0,54.6,5.4,11.0,0.0,0.0,0.0,0.6,0.0,129.6,12.8,13.5,47.8,0.0,0.0,0.0,0.0,
2023-09-20,Snacks,1142.8,64.5,12.0,0.0,0.0,0.3,12.2,128.0,684.4,64.1,6.6,17.5,84.3,0.0,116.2,290.0,15.1,
2023-09-21,Breakfast,374.5,12.4,2.0,0.0,0.0,0.0,0.0,36.8,0.0,55.2,3.9,6.0,14.3,0.0,0.0,0.0,0.0,
2023-09-21,Dinner,864.0,39.1,0.0,0.0,0.0,0.0,0.0,1610.0,0.0,58.4,0.0,0.0,63.4,0.0,0.0,0.0,0.0,
2023-09-21,Lunch,909.5,45.9,7.8,0.0,0.0,0.0,0.0,1.4,0.0,98.0,14.0,10.8,33.8,0.0,0.0,0.0,0.0,
2023-09-21,Snacks,990.8,56.4,8.2,0.0,0.0,0.0,1.1,120.0,518.4,60.8,6.6,14.2,69.3,0.0,116.2,288.5,10.7,
2023-09-22,Breakfast,600.4,15.6,2.7,0.0,0.0,0.0,0.5,37.1,362.1,84.4,7.9,18.7,37.9,0.0,116.2,130.2,0.7,
2023-09-22,Dinner,950.0,51.7,0.0,0.0,0.0,0.0,0.0,2683.4,0.0,33.3,0.0,0.0,83.3,0.0,0.0,0.0,0.0,
2023-09-22,Lunch,614.5,30.8,2.4,0.0,0.0,0.0,0.0,1.1,0.0,67.9,9.8,1.9,21.7,0.0,0.0,0.0,0.0,
2023-09-22,Snacks,905.3,32.3,5.3,6.0,14.6,0.0,427.1,33.3,762.9,36.7,3.5,3.5,68.0,0.0,0.0,296.4,5.8,
2023-09-23,Breakfast,701.0,27.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,87.5,2.5,0.0,27.0,0.0,0.0,0.0,0.0,
2023-09-23,Dinner,1000.0,20.0,0.0,0.0,0.0,0.0,20.0,300.0,0.0,60.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,
